relation	pattern
hasAcademicAdvisor	[[det]] student to;
hasAcademicAdvisor	[[det]] student;
hasAcademicAdvisor	[[adj]] student of;
hasAcademicAdvisor	[[det]] student where;
hasAcademicAdvisor	[[det]] student [[con]];
hasAcademicAdvisor	student [[con]];
hasAcademicAdvisor	[[adj]] student [[con]];
hasAcademicAdvisor	[[adj]] student;
hasAcademicAdvisor	[[prp]] student;
hasAcademicAdvisor	[[con]] student;
hasAcademicAdvisor	student of;
hasAcademicAdvisor	[[det]] student [[det]];
hasAcademicAdvisor	[[det]] student of;
hasAcademicAdvisor	had studied;
hasAcademicAdvisor	has studied with;
hasAcademicAdvisor	also studied [[det]];
hasAcademicAdvisor	who studied with;
hasAcademicAdvisor	had studied with;
hasAcademicAdvisor	where studied with;
hasAcademicAdvisor	then studied with;
hasAcademicAdvisor	also studied under;
hasAcademicAdvisor	also studied with;
hasAcademicAdvisor	had studied under;
hasAcademicAdvisor	first studied under;
hasAcademicAdvisor	studied [[det]];
hasAcademicAdvisor	studied first;
hasAcademicAdvisor	studied with;
hasAcademicAdvisor	later studied under;
hasAcademicAdvisor	later studied;
hasAcademicAdvisor	studied later;
hasAcademicAdvisor	where studied under;
hasAcademicAdvisor	studied [[num]];
hasAcademicAdvisor	[[adj]] studied;
hasAcademicAdvisor	[[con]] studied;
hasAcademicAdvisor	where studied [[det]];
hasAcademicAdvisor	also studied [[con]];
hasAcademicAdvisor	where studied;
hasAcademicAdvisor	has studied [[con]];
hasAcademicAdvisor	[[con]] studied under;
hasAcademicAdvisor	[[con]] studied with;
hasAcademicAdvisor	then studied under;
hasAcademicAdvisor	first studied with;
hasAcademicAdvisor	also studied;
hasAcademicAdvisor	also studied as;
hasAcademicAdvisor	studied under;
hasAcademicAdvisor	have studied with;
hasAcademicAdvisor	studied as;
hasAcademicAdvisor	had studied [[adj]];
hasAcademicAdvisor	have studied under;
hasAcademicAdvisor	studied to;
hasAcademicAdvisor	[[num]] studied;
hasAcademicAdvisor	have studied;
hasAcademicAdvisor	later studied with;
hasAcademicAdvisor	has studied under;
hasAcademicAdvisor	studied there;
hasAcademicAdvisor	studied where;
hasAcademicAdvisor	under supervision;
hasAcademicAdvisor	under supervision of;
hasAcademicAdvisor	[[det]] supervision of;
hasAcademicAdvisor	was received;
hasAcademicAdvisor	that received;
hasAcademicAdvisor	well received [[con]];
hasAcademicAdvisor	[[con]] received;
hasAcademicAdvisor	also received [[prp]];
hasAcademicAdvisor	well received by;
hasAcademicAdvisor	also received [[adj]];
